1,ADJECTIVE,1733661,ADJECTIVE,Direct
100,ADJECTIVE,935500,ADJECTIVE,Direct
10001,NOUN,537682,NOUN,Direct
10002,NOUN,582195,NOUN,Direct
10003,NOUN,585660,NOUN,Direct
10006,VERB,1866030,VERB,Direct
10008,NOUN,12339831,NOUN,Direct
10009,NOUN,7447022,NOUN,Direct
1001,NOUN,11448343,NOUN,Direct
10012,NOUN,11519121,NOUN,Direct
10016,NOUN,10159615,NOUN,Direct
1002,NOUN,1020936,NOUN,Direct
10022,NOUN,7090019,NOUN,Direct
10024,NOUN,10085970,NOUN,Direct
10025,NOUN,4058096,NOUN,Direct
10026,ADJECTIVE,2119971,ADJECTIVE,Direct
10027,NOUN,7140978,NOUN,Direct
10030,ADJECTIVE,150505,ADJECTIVE,Direct
10031,NOUN,10269785,NOUN,Direct
10032,NOUN,10437852,NOUN,Direct
10033,ADJECTIVE,1380267,ADJECTIVE,Direct
10035,NOUN,6123363,NOUN,Direct
10039,NOUN,7106246,NOUN,Direct
10041,NOUN,3650084,NOUN,Direct
10042,NOUN,9930876,NOUN,Direct
10043,NOUN,11449419,NOUN,Direct
10044,NOUN,4911894,NOUN,Direct
10045,NOUN,14476290,NOUN,Direct
10046,NOUN,6310945,NOUN,Direct
10047,ADJECTIVE,638067,ADJECTIVE,Direct
10048,ADJECTIVE,1818680,ADJECTIVE,Direct
10049,NOUN,13857676,NOUN,Direct
1005,NOUN,4159058,NOUN,Direct
10050,NOUN,13468094,NOUN,Direct
10052,NOUN,6321702,NOUN,Direct
10054,NOUN,6427387,NOUN,Direct
10055,NOUN,15223343,NOUN,Direct
10057,ADJECTIVE,927978,ADJECTIVE,Direct
10060,NOUN,7363668,NOUN,Direct
10062,NOUN,6466030,NOUN,Direct
10063,ADJECTIVE,179925,ADJECTIVE,Direct
10064,ADJECTIVE,2829422,ADJECTIVE,Direct
10065,NOUN,10141364,NOUN,Direct
10067,NOUN,1135952,NOUN,Direct
10068,NOUN,6174404,NOUN,Direct
10069,ADJECTIVE,468795,ADJECTIVE,Direct
10071,NOUN,6744154,NOUN,Direct
10072,NOUN,10516016,NOUN,Direct
